Phylum	Class	Order	Family	Apr2014_01M	Apr2014_50M	Jul2014_01M	Jul2014_50M	Oct2014_01M	Oct2014_50M	Jan2015_01M	Jan2015_50M	Jan2019_01M	Jan2019_10M	Jan2019_20M	Jan2019_40M	Jan2019_90M	Apr2019_01	Apr2019_10M	Apr2019_20M	Apr2019_40M	Apr2019_90M	Jul2019_01M	Jul2019_10M	Jul2019_20M	Jul2019_40M	Jul2019_90M	Nov2019_01M	Nov2019_10M	Nov2019_20M	Nov2019_40M	Nov2019_90M
Acidobacteriota	Holophagae	Holophagales	Holophagaceae	0.73	2.56	0.01	1.29	0.06	0.77	0.76	0.77	1.99	2.2	2.22	2.27	0.25	0.5	0.55	0.7	0.64	0.48	0.01	0.03	0.4	0.54	0.05	1.69	1.84	1.65	1.01	0.21
Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	2.01	6.83	1.63	5.3	6.23	5.72	5.34	5.21	2.34	2.16	2.91	2.87	0.36	0.96	1.29	1.85	1.83	1.44	2.97	6.46	2.92	1.63	0.83	2.9	2.53	2.8	1.8	0.84
Actinobacteriota	Actinomycetia	Nanopelagicales	Nanopelagicaceae	11.27	11.43	8.7	7.86	14.7	10.28	8.75	9.01	4.87	4.23	4.56	4.78	5.32	11.78	8.7	6.92	7.85	5.35	9.69	14.14	10.22	3.2	8.92	6.66	5.48	6.49	4.56	5.17
Bacteroidota	Bacteroidia	AKYH767	B-17BO	0.05	0.31	0.02	0.19	0.32	0.22	1.05	1.05	0.13	0.13	0.12	0.11	0.08	0.18	0.17	0.18	0.2	0.17	0.01	0.01	0.06	0.16	0.04	0.39	0.36	0.37	0.49	0.05
Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	2.41	4.34	1.7	2.64	3.7	2.96	3.95	4.37	1.77	2.06	2.07	2.1	2.32	4.15	3.64	2.99	3.88	2.19	0.76	1.32	1.81	1.39	2.77	2.38	1.99	2.22	1.26	2.26
Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	0.75	0.21	0.58	0.28	0.05	0.18	0.16	0.17	0.05	0.06	0.05	0.05	0.06	0.21	0.18	0.13	0.17	0.15	0.04	0.08	0.21	0.12	0.13	0.03	0.02	0.03	0.06	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	0.59	1.03	0.23	0.94	2.13	0.14	0.49	0.53	0.95	0.9	0.72	0.71	0.14	1.55	1.26	2	2.33	0.74	0.35	0.54	1.34	1.13	0.03	0.64	0.61	0.54	0.21	0.11
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	1.14	0.6	0.61	0.5	0.65	0.39	0.84	0.83	0.51	0.55	0.48	0.46	0.36	0.8	0.59	0.57	0.82	0.58	0.31	0.28	0.46	0.32	0.59	0.21	0.17	0.2	0.55	0.44
Chloroflexota	Anaerolineae	Anaerolineales	UBA11657	0.24	0.99	0.01	2.55	0	3.84	1.37	1.2	2.02	2.22	2.24	2.16	1.51	1.73	2.39	2.93	2.75	4.04	0	0	0	7.06	0.28	0.14	0.16	0.15	2.99	0.97
Chloroflexota	Limnocylindria	Limnocylindrales	Limnocylindraceae	0.24	0.25	1.29	0.18	0.39	0.1	0.18	0.23	0.6	0.52	0.48	0.57	0.04	0.47	0.57	0.51	0.46	0.38	0.5	0.99	1.46	0.3	0.05	0.94	0.7	0.83	1.07	0.03
Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	0.56	0.07	0.51	0.04	0.56	0.04	0.21	0.22	0.08	0.08	0.09	0.12	0.03	0.74	1.03	0.31	0.67	0.03	0.68	1.64	0.76	0.07	0.03	0.56	0.39	0.6	0.1	0.04
Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	0.03	0.48	0.01	0.44	0.05	0.52	0.47	0.46	1.22	1.21	1.06	1.12	0.64	0.08	0.19	0.68	0.48	0.6	0.03	0.03	0.03	0.73	0.27	0.53	0.64	0.54	0.55	0.7
Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	0.01	1.28	0.01	1.39	0.04	1.01	0.36	0.33	1.64	1.57	1.45	1.25	1.36	0.01	0.02	0.58	0.08	1.21	0.02	0.01	0.01	1.82	0.06	0.2	0.25	0.21	2.73	0.51
Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	0.32	1.34	1.26	1.5	0.52	1.85	2.7	2.85	7.81	7.13	6.18	5.63	1.9	1.18	1.68	2.25	2.28	2.36	1.74	1.39	2.71	4.25	0.63	0.98	0.93	0.99	4.05	0.97
Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	0.03	0.69	0.09	0.41	0.13	0.31	1.07	0.92	0.27	0.26	0.25	0.34	0.04	0.05	0.08	0.27	0.19	0.19	0.04	0.06	0.2	0.17	0.04	0.49	0.32	0.46	0.12	0.12
Planctomycetota	Planctomycetia	Pirellulales	UBA1268	0.14	0.53	2.49	1.47	0.57	2.46	0.6	0.51	0.08	0.08	0.08	0.09	0.2	0.08	0.1	0.21	0.12	0.17	0.38	0.67	0.31	0.47	0.24	0.15	0.12	0.14	0.18	0.32
Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	2.88	1.81	32.76	0.86	2.8	0.36	1.93	1.93	0.29	0.34	0.37	0.24	0.04	0.86	0.61	0.34	0.37	0.2	17.89	5.06	1.92	0.23	0.09	0.97	0.89	0.84	0.37	0.05
Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	21.36	6.99	11.76	4.78	8.41	4.97	8.23	8.46	9.87	10.92	11.44	12.99	14.18	19.62	18.1	10.18	13.2	8.31	3.2	11.16	8.79	5.87	8.87	13.21	13.76	13.29	9.1	14.73
Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	3.34	2.75	0.6	3.22	1.83	1.02	3.7	3.21	0.6	0.67	0.72	0.66	11.07	1.08	0.67	0.49	0.5	2.55	0.05	0.37	0.47	0.22	3.42	1.57	1.43	1.45	0.81	3.51
Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	0.02	2.11	0.01	1.71	0.02	1.27	0.44	0.46	0.86	0.83	0.89	0.82	0.83	0.05	0.06	0.61	0.14	1.78	0.01	0.01	0.02	1.08	0.06	0.04	0.05	0.04	0.71	0.25
Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-39	0.09	0.47	0.01	0.28	0.09	0.49	0.39	0.47	0.75	0.83	0.78	0.94	1	0.17	0.31	0.45	0.37	0.75	0.03	0.21	0.24	0.45	0.39	1.15	1.28	1.16	0.69	0.82
Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	0.06	0.33	0.03	0.28	0.07	0.59	0.36	0.41	0.5	0.57	0.52	0.67	0.43	0.09	0.14	0.31	0.22	0.5	0.02	0.15	0.31	0.32	0.19	0.69	0.72	0.69	0.38	0.28
Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	0.03	0.51	0.05	3.18	0.03	0.56	0.85	0.76	0.08	0.08	0.11	0.1	3.35	0.02	0.02	0.12	0.03	2.59	0.02	0.02	0.02	0.09	0.8	0.03	0.03	0.04	0.34	3.09
Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	0.37	0.2	0.02	0.09	0.04	0.03	1.25	1.25	0.87	0.95	1.31	1.4	0.04	0.54	0.54	0.94	0.85	0.17	0.05	0.03	0.05	0.09	0.18	0.26	0.23	0.26	0.12	0.19
Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA3015	4.23	1.34	1.38	4.07	0.41	3.97	2.41	2.38	0.42	0.42	0.44	0.37	0.11	2.85	2.99	1.03	1.5	0.45	5.96	2.16	0.76	0.69	0.12	0.23	0.25	0.22	0.31	0.11
Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	0.22	1.89	0.16	2.94	0.66	2.49	2.3	2.27	3.31	3.13	2.92	2.73	2.62	0.45	0.72	2.51	2.01	2.34	0.15	1.2	4.1	2.97	1.69	2.07	2.38	2.15	2.75	4.28
Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA953	0.16	1.12	1.72	0.58	0.33	0.25	3	2.88	1.26	1.17	1.08	1.03	0.33	1.3	1.85	3.56	3.28	2.45	1.44	0.42	2.55	1.21	0.94	5.86	7.49	6.22	1.98	0.5
Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	SXQI01	0	0.13	0	0.66	0	1.21	0.54	0.51	0.16	0.15	0.14	0.13	0.01	0	0.01	0.21	0.05	0.5	0.01	0	0	0.11	0.01	0.02	0.03	0.02	0.17	0.04
Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	SXTU01	0.01	0.19	0.02	4.97	0.04	1.32	0.83	0.86	2.14	1.96	1.84	1.7	0.74	0.06	0.11	1.6	0.42	2.11	0.01	0.01	0.19	6.7	0.03	2.57	2.99	2.76	2.92	0.21
Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA9464	0.59	0.72	0.27	0.58	1.13	0.36	0.69	0.86	1.44	1.37	1.31	1.33	0.17	0.95	1.59	1.27	1.57	1.35	0.22	1.03	2.14	1.77	0.06	0.68	0.7	0.71	0.83	0.23
